type,lift,parking,property_size,bathroom,cup_board,building_type,balconies,LIFT,PB,rent
0.5689934666208184,1,2.0,1400,2.0,2.0,0,2.0,1,1,22000.0
0.213882202682124,1,2.0,1350,3.0,3.0,0,3.0,1,1,28000.0
0.1756643906273026,0,0.0,600,1.0,1.0,3,0.0,0,0,8000.0
0.213882202682124,0,2.0,1500,3.0,4.0,3,1.0,0,0,45000.0
0.1756643906273026,1,2.0,1080,2.0,1.0,0,2.0,1,1,18000.0
0.213882202682124,1,2.0,1895,3.0,5.0,0,3.0,1,1,32000.0
0.5689934666208184,0,2.0,1000,2.0,2.0,3,0.0,0,1,22000.0
0.5689934666208184,0,3.0,900,2.0,2.0,3,0.0,0,0,10000.0
0.5689934666208184,1,2.0,1290,2.0,4.0,0,2.0,1,1,19500.0
0.5689934666208184,0,2.0,1200,2.0,4.0,2,1.0,0,0,12500.0
0.5689934666208184,1,1.0,1300,2.0,2.0,0,2.0,1,1,32000.0
0.5689934666208184,1,2.0,930,2.0,2.0,0,1.0,1,1,11000.0
0.5689934666208184,1,1.0,1418,2.0,2.0,0,2.0,1,1,32500.0
0.1756643906273026,0,0.0,600,1.0,1.0,3,0.0,0,0,12000.0
0.5689934666208184,0,0.0,1200,1.0,0.0,2,1.0,0,0,15000.0
0.213882202682124,0,0.0,1200,2.0,2.0,3,2.0,0,1,18500.0
0.213882202682124,0,0.0,1200,2.0,0.0,2,1.0,0,0,21000.0
0.5689934666208184,0,2.0,1020,2.0,2.0,0,2.0,1,1,22000.0
0.5689934666208184,1,2.0,1084,2.0,2.0,0,3.0,1,1,24000.0
0.5689934666208184,1,1.0,1285,2.0,2.0,0,0.0,1,1,27000.0
0.5689934666208184,0,3.0,600,1.0,2.0,2,1.0,0,0,14000.0
0.1756643906273026,0,2.0,800,1.0,0.0,0,1.0,1,1,12000.0
0.213882202682124,1,2.0,1610,2.0,6.0,0,3.0,1,1,36000.0
0.5689934666208184,0,0.0,1100,2.0,2.0,2,1.0,0,0,15000.0
0.5689934666208184,0,2.0,1200,2.0,2.0,2,0.0,0,0,20000.0
0.5689934666208184,1,2.0,800,2.0,1.0,0,0.0,1,1,16000.0
0.5689934666208184,0,3.0,800,1.0,2.0,2,0.0,0,0,10000.0
0.5689934666208184,1,2.0,1484,2.0,1.0,0,1.0,1,1,22000.0
0.5689934666208184,0,3.0,500,1.0,2.0,2,0.0,0,0,9000.0
0.5689934666208184,1,2.0,1200,2.0,2.0,0,1.0,1,1,19500.0
0.5689934666208184,1,2.0,1300,2.0,2.0,3,2.0,1,0,25000.0
0.0270177334577786,0,0.0,250,1.0,1.0,2,0.0,0,0,11000.0
0.213882202682124,1,2.0,1860,3.0,5.0,0,3.0,1,1,48000.0
0.0270177334577786,0,0.0,250,1.0,1.0,2,0.0,0,0,9000.0
0.5689934666208184,0,2.0,972,2.0,5.0,0,3.0,1,0,31000.0
0.213882202682124,0,2.0,1050,2.0,4.0,0,1.0,0,0,20000.0
0.5689934666208184,0,0.0,850,2.0,2.0,2,1.0,0,0,19000.0
0.5689934666208184,0,0.0,1050,1.0,3.0,2,0.0,0,0,16000.0
0.5689934666208184,1,2.0,1175,2.0,3.0,0,2.0,1,1,20000.0
0.213882202682124,1,2.0,1876,3.0,5.0,0,4.0,1,1,50000.0
0.5689934666208184,0,2.0,750,1.0,2.0,3,0.0,0,0,12000.0
0.5689934666208184,0,0.0,900,1.0,2.0,2,1.0,0,0,15000.0
0.213882202682124,0,0.0,1200,2.0,4.0,2,1.0,0,0,30000.0
0.5689934666208184,0,2.0,900,2.0,3.0,2,0.0,0,1,18000.0
0.5689934666208184,0,0.0,1100,2.0,5.0,2,1.0,0,0,14000.0
0.5689934666208184,1,1.0,1230,2.0,2.0,0,2.0,1,1,21000.0
0.213882202682124,1,2.0,1435,2.0,4.0,0,3.0,1,1,20000.0
0.1756643906273026,0,0.0,400,1.0,0.0,2,0.0,0,0,10000.0
0.5689934666208184,0,0.0,800,2.0,2.0,2,0.0,0,0,12500.0
0.213882202682124,0,2.0,1360,3.0,3.0,0,1.0,1,0,17000.0
0.0270177334577786,0,0.0,120,1.0,1.0,2,0.0,0,0,8000.0
0.1756643906273026,0,0.0,650,1.0,1.0,2,1.0,0,1,9000.0
0.5689934666208184,0,0.0,900,2.0,2.0,2,0.0,0,0,13500.0
0.5689934666208184,1,2.0,1172,2.0,2.0,0,1.0,1,1,35000.0
0.1756643906273026,0,0.0,225,1.0,1.0,2,1.0,0,0,8400.0
0.5689934666208184,1,2.0,1100,2.0,2.0,0,2.0,1,1,17000.0
0.5689934666208184,0,0.0,1200,2.0,2.0,3,0.0,0,0,15000.0
0.213882202682124,0,0.0,1500,3.0,4.0,2,2.0,0,0,23000.0
0.5689934666208184,1,2.0,1250,2.0,3.0,0,1.0,1,1,21000.0
0.5689934666208184,1,2.0,1440,2.0,6.0,0,3.0,1,1,24000.0
0.5689934666208184,0,0.0,1000,2.0,1.0,2,1.0,0,0,13000.0
0.5689934666208184,1,2.0,1465,2.0,2.0,0,2.0,1,1,32000.0
0.5689934666208184,1,0.0,900,2.0,3.0,0,2.0,1,1,22000.0
0.213882202682124,1,2.0,1500,3.0,0.0,0,4.0,1,0,30000.0
0.213882202682124,1,2.0,2250,2.0,2.0,2,3.0,1,1,42000.0
0.213882202682124,0,2.0,1900,2.0,2.0,2,2.0,0,0,33000.0
0.5689934666208184,0,0.0,600,1.0,1.0,2,0.0,0,0,10000.0
0.5689934666208184,1,2.0,1348,2.0,2.0,0,2.0,1,1,26000.0
0.1756643906273026,0,0.0,600,1.0,1.0,2,2.0,0,0,16000.0
0.0270177334577786,0,3.0,200,1.0,1.0,0,1.0,0,0,10000.0
0.1756643906273026,0,0.0,500,1.0,1.0,2,1.0,0,0,9000.0
0.1756643906273026,0,0.0,400,1.0,1.0,2,0.0,0,0,10000.0
0.1756643906273026,0,0.0,600,1.0,1.0,3,1.0,0,0,9500.0
0.1756643906273026,0,0.0,800,1.0,3.0,2,1.0,0,0,9500.0
0.5689934666208184,0,2.0,1150,2.0,1.0,2,0.0,0,0,16000.0
0.5689934666208184,1,2.0,1194,2.0,3.0,0,2.0,1,1,26000.0
0.5689934666208184,0,2.0,1500,2.0,1.0,2,4.0,0,0,16000.0
0.213882202682124,1,2.0,1590,3.0,10.0,0,1.0,1,1,40000.0
0.1756643906273026,0,0.0,450,1.0,1.0,2,0.0,0,0,14000.0
0.213882202682124,1,2.0,1431,2.0,2.0,0,2.0,1,1,38000.0
0.1756643906273026,0,0.0,448,1.0,1.0,2,0.0,0,0,14000.0
0.5689934666208184,0,1.0,1250,2.0,2.0,2,1.0,0,0,10500.0
0.5689934666208184,1,0.0,1250,2.0,2.0,0,3.0,1,0,23000.0
0.5689934666208184,0,2.0,750,2.0,4.0,0,1.0,1,1,23000.0
0.5689934666208184,0,0.0,800,2.0,4.0,2,1.0,0,0,20000.0
0.1756643906273026,1,2.0,550,1.0,1.0,2,1.0,1,0,9000.0
0.213882202682124,0,2.0,2100,3.0,3.0,2,1.0,0,0,40000.0
0.1756643906273026,0,3.0,450,1.0,1.0,3,1.0,0,0,8000.0
